Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
1.029(43)e+05 488.30(53) 48.9(1.3) 44(17) 12.8769
5.601(35)e+05 1186.79(23) 53.46(29) 394(10) 9.9888
5.118(30)e+05 4979.42(95) 188.53(82) 127.8(2.7) 1.7961
1.184(28)e+05 5439.0(3.3) 166.7(2.8) 127.8(2.7) 1.7961
