Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
4.555(37)e+06 430.36(20) 33.46(25) 3.02(16)e+03 174.5001
3.24(18)e+05 763.49(62) 79.8(2.3) 1085(50) 5.8699
1.834(57)e+05 919.53(29) 42.26(78) 2276(27) 9.1538
1.793(12)e+06 1180.27(22) 52.44(30) 1509(37) 31.78
2.271(45)e+05 1655.54(59) 68.73(99) 939(12) 16.5302
8.42(35)e+04 3824.6(2.4) 100.1(2.6) 406.8(9.0) 4.634
5.794(68)e+05 4221.47(82) 181.5(1.2) 406.8(9.0) 4.634
1.7308(64)e+06 4953.50(60) 187.47(50) 430.4(6.1) 2.0144
4.271(63)e+05 5408.6(2.0) 171.2(1.7) 430.4(6.1) 2.0144
