Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
4.018(34)e+04 330.18(22) 35.07(27) 34.9(1.4) 0.0097
2.6(2.9)e+04 608.0(3.9) 116(51) 12(61) 0.3633
3.155(60)e+04 912.22(69) 52.03(87) 77.4(1.7) 0.0617
4.140(27)e+04 3907.48(90) 179.2(1.1) 3.69(22) 0.0299
7.14(35)e+03 3280.0(4.0) 128.7(5.3) 28.75(42) 0.468
