Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
4.156(16)e+04 12659.419(35) 8.860(37) 19.8(1.4) 3.881
3.699(12)e+04 14377.956(33) 9.416(34) 6.06(89) inf
