Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
6.50(54)e+04 9683.0(2.0) 305(12) 9.0(4.0) 0.1415
6.21(15)e+04 10959.8(1.8) 336.1(4.9) 0.73(95) 0.0747
