Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
2.6113(80)e+05 5622.93(40) 195.82(52) 1.56(62) 0.0059
4.437(37)e+04 313.05(21) 26.17(23) 89.3(1.5) 0.019
