Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
8.409(31)e+04 910.92(31) 104.33(36) 0.46(41) 0.7596
8.854(32)e+04 2130.28(30) 106.08(36) 0.29(41) 0.7583
8.382(30)e+04 3380.66(31) 105.90(35) 0.57(38) 0.7347
9.192(29)e+04 4622.43(29) 106.09(32) 0.43(36) 0.7125
9.181(29)e+04 5879.25(28) 105.87(32) 0.45(35) 0.6788
