[s],CH1[V]
-1.1040E-05,4.000E-02
-1.1036E-05,-1.200E-01
-1.1032E-05,4.000E-02
-1.1028E-05,4.000E-02
-1.1024E-05,4.000E-02
-1.1020E-05,4.000E-02
-1.1016E-05,4.000E-02
-1.1012E-05,1.200E-01
-1.1008E-05,-4.000E-02
-1.1004E-05,-4.000E-02
-1.1000E-05,1.200E-01
-1.0996E-05,1.200E-01
-1.0992E-05,4.000E-02
-1.0988E-05,-4.000E-02
-1.0984E-05,1.200E-01
-1.0980E-05,1.200E-01
-1.0976E-05,4.000E-02
-1.0972E-05,4.000E-02
-1.0968E-05,4.000E-02
-1.0964E-05,4.000E-02
-1.0960E-05,4.000E-02
-1.0956E-05,4.000E-02
-1.0952E-05,4.000E-02
-1.0948E-05,4.000E-02
-1.0944E-05,4.000E-02
-1.0940E-05,4.000E-02
-1.0936E-05,4.000E-02
-1.0932E-05,-4.000E-02
-1.0928E-05,4.000E-02
-1.0924E-05,-4.000E-02
-1.0920E-05,1.200E-01
-1.0916E-05,-4.000E-02
-1.0912E-05,4.000E-02
-1.0908E-05,4.000E-02
-1.0904E-05,1.200E-01
-1.0900E-05,4.000E-02
-1.0896E-05,1.200E-01
-1.0892E-05,1.200E-01
-1.0888E-05,4.000E-02
-1.0884E-05,1.200E-01
-1.0880E-05,4.000E-02
-1.0876E-05,4.000E-02
-1.0872E-05,4.000E-02
-1.0868E-05,-4.000E-02
-1.0864E-05,-4.000E-02
-1.0860E-05,-4.000E-02
-1.0856E-05,4.000E-02
-1.0852E-05,4.000E-02
-1.0848E-05,-4.000E-02
-1.0844E-05,4.000E-02
-1.0840E-05,-4.000E-02
-1.0836E-05,-1.200E-01
-1.0832E-05,-4.000E-02
-1.0828E-05,4.000E-02
-1.0824E-05,4.000E-02
-1.0820E-05,-1.200E-01
-1.0816E-05,2.000E-01
-1.0812E-05,-4.000E-02
-1.0808E-05,-4.000E-02
-1.0804E-05,4.000E-02
-1.0800E-05,4.000E-02
-1.0796E-05,-1.200E-01
-1.0792E-05,-1.200E-01
-1.0788E-05,-4.000E-02
-1.0784E-05,1.200E-01
-1.0780E-05,-4.000E-02
-1.0776E-05,-4.000E-02
-1.0772E-05,-4.000E-02
-1.0768E-05,-4.000E-02
-1.0764E-05,-2.000E-01
-1.0760E-05,4.000E-02
-1.0756E-05,1.200E-01
-1.0752E-05,4.000E-02
-1.0748E-05,4.000E-02
-1.0744E-05,-4.000E-02
-1.0740E-05,4.000E-02
-1.0736E-05,4.000E-02
-1.0732E-05,-4.000E-02
-1.0728E-05,4.000E-02
-1.0724E-05,4.000E-02
-1.0720E-05,4.000E-02
-1.0716E-05,4.000E-02
-1.0712E-05,-4.000E-02
-1.0708E-05,-1.200E-01
-1.0704E-05,-4.000E-02
-1.0700E-05,1.200E-01
-1.0696E-05,4.000E-02
-1.0692E-05,4.000E-02
-1.0688E-05,4.000E-02
-1.0684E-05,-4.000E-02
-1.0680E-05,-4.000E-02
-1.0676E-05,4.000E-02
-1.0672E-05,1.200E-01
-1.0668E-05,4.000E-02
-1.0664E-05,4.000E-02
-1.0660E-05,-4.000E-02
-1.0656E-05,-4.000E-02
-1.0652E-05,-1.200E-01
-1.0648E-05,4.000E-02
-1.0644E-05,-4.000E-02
-1.0640E-05,4.000E-02
-1.0636E-05,-4.000E-02
-1.0632E-05,-4.000E-02
-1.0628E-05,4.000E-02
-1.0624E-05,4.000E-02
-1.0620E-05,-4.000E-02
-1.0616E-05,2.000E-01
-1.0612E-05,4.000E-02
-1.0608E-05,-1.200E-01
-1.0604E-05,-4.000E-02
-1.0600E-05,-4.000E-02
-1.0596E-05,-4.000E-02
-1.0592E-05,4.000E-02
-1.0588E-05,4.000E-02
-1.0584E-05,-4.000E-02
-1.0580E-05,4.000E-02
-1.0576E-05,-4.000E-02
-1.0572E-05,4.000E-02
-1.0568E-05,4.000E-02
-1.0564E-05,-4.000E-02
-1.0560E-05,-4.000E-02
-1.0556E-05,2.000E-01
-1.0552E-05,4.000E-02
-1.0548E-05,4.000E-02
-1.0544E-05,-4.000E-02
-1.0540E-05,-4.000E-02
-1.0536E-05,4.000E-02
-1.0532E-05,-4.000E-02
-1.0528E-05,4.000E-02
-1.0524E-05,-4.000E-02
-1.0520E-05,4.000E-02
-1.0516E-05,-1.200E-01
-1.0512E-05,4.000E-02
-1.0508E-05,1.200E-01
-1.0504E-05,-4.000E-02
-1.0500E-05,4.000E-02
-1.0496E-05,-4.000E-02
-1.0492E-05,4.000E-02
-1.0488E-05,4.000E-02
-1.0484E-05,-4.000E-02
-1.0480E-05,-4.000E-02
-1.0476E-05,2.000E-01
-1.0472E-05,4.000E-02
-1.0468E-05,-4.000E-02
-1.0464E-05,1.200E-01
-1.0460E-05,4.000E-02
-1.0456E-05,-4.000E-02
-1.0452E-05,-1.200E-01
-1.0448E-05,1.200E-01
-1.0444E-05,1.200E-01
-1.0440E-05,-1.200E-01
-1.0436E-05,4.000E-02
-1.0432E-05,1.200E-01
-1.0428E-05,4.000E-02
-1.0424E-05,-4.000E-02
-1.0420E-05,1.200E-01
-1.0416E-05,-4.000E-02
-1.0412E-05,-4.000E-02
-1.0408E-05,-4.000E-02
-1.0404E-05,4.000E-02
-1.0400E-05,-4.000E-02
-1.0396E-05,-4.000E-02
-1.0392E-05,4.000E-02
-1.0388E-05,-4.000E-02
-1.0384E-05,-4.000E-02
-1.0380E-05,-4.000E-02
-1.0376E-05,1.200E-01
-1.0372E-05,-1.200E-01
-1.0368E-05,4.000E-02
-1.0364E-05,-4.000E-02
-1.0360E-05,-4.000E-02
-1.0356E-05,1.200E-01
-1.0352E-05,4.000E-02
-1.0348E-05,-4.000E-02
-1.0344E-05,-1.200E-01
-1.0340E-05,-1.200E-01
-1.0336E-05,-4.000E-02
-1.0332E-05,4.000E-02
-1.0328E-05,4.000E-02
-1.0324E-05,4.000E-02
-1.0320E-05,4.000E-02
-1.0316E-05,-4.000E-02
-1.0312E-05,1.200E-01
-1.0308E-05,4.000E-02
-1.0304E-05,4.000E-02
-1.0300E-05,-4.000E-02
-1.0296E-05,1.200E-01
-1.0292E-05,-4.000E-02
-1.0288E-05,4.000E-02
-1.0284E-05,-4.000E-02
-1.0280E-05,4.000E-02
-1.0276E-05,4.000E-02
-1.0272E-05,-4.000E-02
-1.0268E-05,4.000E-02
-1.0264E-05,4.000E-02
-1.0260E-05,-4.000E-02
-1.0256E-05,4.000E-02
-1.0252E-05,-4.000E-02
-1.0248E-05,-4.000E-02
-1.0244E-05,4.000E-02
-1.0240E-05,4.000E-02
-1.0236E-05,4.000E-02
-1.0232E-05,4.000E-02
-1.0228E-05,4.000E-02
-1.0224E-05,4.000E-02
-1.0220E-05,4.000E-02
-1.0216E-05,4.000E-02
-1.0212E-05,-4.000E-02
-1.0208E-05,4.000E-02
-1.0204E-05,4.000E-02
-1.0200E-05,-2.000E-01
-1.0196E-05,4.000E-02
-1.0192E-05,4.000E-02
-1.0188E-05,-4.000E-02
-1.0184E-05,1.200E-01
-1.0180E-05,4.000E-02
-1.0176E-05,-1.200E-01
-1.0172E-05,-4.000E-02
-1.0168E-05,-4.000E-02
-1.0164E-05,4.000E-02
-1.0160E-05,4.000E-02
-1.0156E-05,-4.000E-02
-1.0152E-05,1.200E-01
-1.0148E-05,-4.000E-02
-1.0144E-05,-4.000E-02
-1.0140E-05,4.000E-02
-1.0136E-05,-1.200E-01
-1.0132E-05,-4.000E-02
-1.0128E-05,2.000E-01
-1.0124E-05,1.200E-01
-1.0120E-05,-4.000E-02
-1.0116E-05,4.000E-02
-1.0112E-05,4.000E-02
-1.0108E-05,4.000E-02
-1.0104E-05,2.000E-01
-1.0100E-05,1.200E-01
-1.0096E-05,4.000E-02
-1.0092E-05,-1.200E-01
-1.0088E-05,4.000E-02
-1.0084E-05,-4.000E-02
-1.0080E-05,4.000E-02
-1.0076E-05,4.000E-02
-1.0072E-05,4.000E-02
-1.0068E-05,4.000E-02
-1.0064E-05,4.000E-02
-1.0060E-05,4.000E-02
-1.0056E-05,1.200E-01
-1.0052E-05,-4.000E-02
-1.0048E-05,1.200E-01
-1.0044E-05,4.000E-02
-1.0040E-05,4.000E-02
-1.0036E-05,4.000E-02
-1.0032E-05,4.000E-02
-1.0028E-05,4.000E-02
-1.0024E-05,-4.000E-02
-1.0020E-05,4.000E-02
-1.0016E-05,1.200E-01
-1.0012E-05,-1.200E-01
-1.0008E-05,4.000E-02
-1.0004E-05,-4.000E-02
-1.0000E-05,4.000E-02
-9.9960E-06,4.000E-02
-9.9920E-06,-4.000E-02
-9.9880E-06,4.000E-02
-9.9840E-06,-4.000E-02
-9.9800E-06,4.000E-02
-9.9760E-06,1.200E-01
-9.9720E-06,-1.200E-01
-9.9680E-06,1.200E-01
-9.9640E-06,4.000E-02
-9.9600E-06,1.200E-01
-9.9560E-06,-4.000E-02
-9.9520E-06,2.000E-01
-9.9480E-06,4.000E-02
-9.9440E-06,2.000E-01
-9.9400E-06,-4.000E-02
-9.9360E-06,1.200E-01
-9.9320E-06,-4.000E-02
-9.9280E-06,-4.000E-02
-9.9240E-06,-4.000E-02
-9.9200E-06,4.000E-02
-9.9160E-06,4.000E-02
-9.9120E-06,-4.000E-02
-9.9080E-06,-4.000E-02
-9.9040E-06,4.000E-02
-9.9000E-06,-4.000E-02
-9.8960E-06,-4.000E-02
-9.8920E-06,-4.000E-02
-9.8880E-06,4.000E-02
-9.8840E-06,4.000E-02
-9.8800E-06,4.000E-02
-9.8760E-06,4.000E-02
-9.8720E-06,4.000E-02
-9.8680E-06,1.200E-01
-9.8640E-06,4.000E-02
-9.8600E-06,4.000E-02
-9.8560E-06,-4.000E-02
-9.8520E-06,4.000E-02
-9.8480E-06,4.000E-02
-9.8440E-06,1.200E-01
-9.8400E-06,-4.000E-02
-9.8360E-06,4.000E-02
-9.8320E-06,4.000E-02
-9.8280E-06,1.200E-01
-9.8240E-06,4.000E-02
-9.8200E-06,4.000E-02
-9.8160E-06,4.000E-02
-9.8120E-06,-4.000E-02
-9.8080E-06,-4.000E-02
-9.8040E-06,-4.000E-02
-9.8000E-06,-4.000E-02
-9.7960E-06,-4.000E-02
-9.7920E-06,4.000E-02
-9.7880E-06,4.000E-02
-9.7840E-06,-1.200E-01
-9.7800E-06,4.000E-02
-9.7760E-06,4.000E-02
-9.7720E-06,-4.000E-02
-9.7680E-06,4.000E-02
-9.7640E-06,2.000E-01
-9.7600E-06,-1.200E-01
-9.7560E-06,4.000E-02
-9.7520E-06,4.000E-02
-9.7480E-06,4.000E-02
-9.7440E-06,4.000E-02
-9.7400E-06,-4.000E-02
-9.7360E-06,4.000E-02
-9.7320E-06,-4.000E-02
-9.7280E-06,4.000E-02
-9.7240E-06,4.000E-02
-9.7200E-06,4.000E-02
-9.7160E-06,-4.000E-02
-9.7120E-06,-1.200E-01
-9.7080E-06,4.000E-02
-9.7040E-06,4.000E-02
-9.7000E-06,4.000E-02
-9.6960E-06,4.000E-02
-9.6920E-06,-4.000E-02
-9.6880E-06,4.000E-02
-9.6840E-06,-4.000E-02
-9.6800E-06,4.000E-02
-9.6760E-06,-1.200E-01
-9.6720E-06,-4.000E-02
-9.6680E-06,-4.000E-02
-9.6640E-06,-1.200E-01
-9.6600E-06,4.000E-02
-9.6560E-06,-4.000E-02
-9.6520E-06,4.000E-02
-9.6480E-06,-4.000E-02
-9.6440E-06,4.000E-02
-9.6400E-06,-4.000E-02
-9.6360E-06,4.000E-02
-9.6320E-06,1.200E-01
-9.6280E-06,-1.200E-01
-9.6240E-06,4.000E-02
-9.6200E-06,4.000E-02
-9.6160E-06,-1.200E-01
-9.6120E-06,4.000E-02
-9.6080E-06,1.200E-01
-9.6040E-06,4.000E-02
-9.6000E-06,-2.000E-01
-9.5960E-06,-4.000E-02
-9.5920E-06,4.000E-02
-9.5880E-06,-1.200E-01
-9.5840E-06,4.000E-02
-9.5800E-06,4.000E-02
-9.5760E-06,-4.000E-02
-9.5720E-06,-4.000E-02
-9.5680E-06,-4.000E-02
-9.5640E-06,4.000E-02
-9.5600E-06,-1.200E-01
-9.5560E-06,4.000E-02
-9.5520E-06,-4.000E-02
-9.5480E-06,-4.000E-02
-9.5440E-06,1.200E-01
-9.5400E-06,4.000E-02
-9.5360E-06,1.200E-01
-9.5320E-06,-1.200E-01
-9.5280E-06,1.200E-01
-9.5240E-06,-4.000E-02
-9.5200E-06,-4.000E-02
-9.5160E-06,4.000E-02
-9.5120E-06,-4.000E-02
-9.5080E-06,1.200E-01
-9.5040E-06,-4.000E-02
-9.5000E-06,4.000E-02
-9.4960E-06,-4.000E-02
-9.4920E-06,-4.000E-02
-9.4880E-06,-4.000E-02
-9.4840E-06,-4.000E-02
-9.4800E-06,4.000E-02
-9.4760E-06,4.000E-02
-9.4720E-06,-4.000E-02
-9.4680E-06,-4.000E-02
-9.4640E-06,2.000E-01
-9.4600E-06,-4.000E-02
-9.4560E-06,4.000E-02
-9.4520E-06,-4.000E-02
-9.4480E-06,4.000E-02
-9.4440E-06,4.000E-02
-9.4400E-06,4.000E-02
-9.4360E-06,-4.000E-02
-9.4320E-06,1.200E-01
-9.4280E-06,4.000E-02
-9.4240E-06,-4.000E-02
-9.4200E-06,4.000E-02
-9.4160E-06,1.200E-01
-9.4120E-06,-4.000E-02
-9.4080E-06,4.000E-02
-9.4040E-06,2.000E-01
-9.4000E-06,-4.000E-02
-9.3960E-06,4.000E-02
-9.3920E-06,4.000E-02
-9.3880E-06,-4.000E-02
-9.3840E-06,4.000E-02
-9.3800E-06,-4.000E-02
-9.3760E-06,4.000E-02
-9.3720E-06,4.000E-02
-9.3680E-06,4.000E-02
-9.3640E-06,4.000E-02
-9.3600E-06,4.000E-02
-9.3560E-06,4.000E-02
-9.3520E-06,4.000E-02
-9.3480E-06,4.000E-02
-9.3440E-06,4.000E-02
-9.3400E-06,4.000E-02
-9.3360E-06,1.200E-01
-9.3320E-06,4.000E-02
-9.3280E-06,4.000E-02
-9.3240E-06,1.200E-01
-9.3200E-06,-1.200E-01
-9.3160E-06,-4.000E-02
-9.3120E-06,4.000E-02
-9.3080E-06,4.000E-02
-9.3040E-06,4.000E-02
-9.3000E-06,4.000E-02
-9.2960E-06,4.000E-02
-9.2920E-06,1.200E-01
-9.2880E-06,-1.200E-01
-9.2840E-06,2.000E-01
-9.2800E-06,-4.000E-02
-9.2760E-06,4.000E-02
-9.2720E-06,-4.000E-02
-9.2680E-06,-4.000E-02
-9.2640E-06,4.000E-02
-9.2600E-06,-4.000E-02
-9.2560E-06,-4.000E-02
-9.2520E-06,1.200E-01
-9.2480E-06,4.000E-02
-9.2440E-06,4.000E-02
-9.2400E-06,-4.000E-02
-9.2360E-06,-4.000E-02
-9.2320E-06,4.000E-02
-9.2280E-06,-4.000E-02
-9.2240E-06,4.000E-02
-9.2200E-06,1.200E-01
-9.2160E-06,4.000E-02
-9.2120E-06,-4.000E-02
-9.2080E-06,-1.200E-01
-9.2040E-06,4.000E-02
-9.2000E-06,1.200E-01
-9.1960E-06,4.000E-02
-9.1920E-06,1.200E-01
-9.1880E-06,4.000E-02
-9.1840E-06,4.000E-02
-9.1800E-06,-4.000E-02
-9.1760E-06,4.000E-02
-9.1720E-06,4.000E-02
-9.1680E-06,-4.000E-02
-9.1640E-06,4.000E-02
-9.1600E-06,-4.000E-02
-9.1560E-06,4.000E-02
-9.1520E-06,4.000E-02
-9.1480E-06,-1.200E-01
-9.1440E-06,4.000E-02
-9.1400E-06,-4.000E-02
-9.1360E-06,4.000E-02
-9.1320E-06,1.200E-01
-9.1280E-06,4.000E-02
-9.1240E-06,4.000E-02
-9.1200E-06,1.200E-01
-9.1160E-06,4.000E-02
-9.1120E-06,-4.000E-02
-9.1080E-06,-4.000E-02
-9.1040E-06,4.000E-02
-9.1000E-06,-4.000E-02
-9.0960E-06,-2.000E-01
-9.0920E-06,4.000E-02
-9.0880E-06,4.000E-02
-9.0840E-06,1.200E-01
-9.0800E-06,4.000E-02
-9.0760E-06,4.000E-02
-9.0720E-06,4.000E-02
-9.0680E-06,4.000E-02
-9.0640E-06,4.000E-02
-9.0600E-06,4.000E-02
-9.0560E-06,-1.200E-01
-9.0520E-06,-4.000E-02
-9.0480E-06,-4.000E-02
-9.0440E-06,4.000E-02
-9.0400E-06,-4.000E-02
-9.0360E-06,4.000E-02
-9.0320E-06,-4.000E-02
-9.0280E-06,4.000E-02
-9.0240E-06,-1.200E-01
-9.0200E-06,-4.000E-02
-9.0160E-06,-4.000E-02
-9.0120E-06,4.000E-02
-9.0080E-06,1.200E-01
-9.0040E-06,1.200E-01
-9.0000E-06,4.000E-02
-8.9960E-06,1.200E-01
-8.9920E-06,-1.200E-01
-8.9880E-06,-4.000E-02
-8.9840E-06,4.000E-02
-8.9800E-06,1.200E-01
-8.9760E-06,4.000E-02
-8.9720E-06,1.200E-01
-8.9680E-06,-4.000E-02
-8.9640E-06,4.000E-02
-8.9600E-06,4.000E-02
-8.9560E-06,4.000E-02
-8.9520E-06,1.200E-01
-8.9480E-06,-4.000E-02
-8.9440E-06,-4.000E-02
-8.9400E-06,4.000E-02
-8.9360E-06,-4.000E-02
-8.9320E-06,4.000E-02
-8.9280E-06,-4.000E-02
-8.9240E-06,4.000E-02
-8.9200E-06,-4.000E-02
-8.9160E-06,-4.000E-02
-8.9120E-06,1.200E-01
-8.9080E-06,-4.000E-02
-8.9040E-06,1.200E-01
-8.9000E-06,1.200E-01
-8.8960E-06,4.000E-02
-8.8920E-06,4.000E-02
-8.8880E-06,1.200E-01
-8.8840E-06,4.000E-02
-8.8800E-06,4.000E-02
-8.8760E-06,-4.000E-02
-8.8720E-06,-4.000E-02
-8.8680E-06,-1.200E-01
-8.8640E-06,4.000E-02
-8.8600E-06,-4.000E-02
-8.8560E-06,4.000E-02
-8.8520E-06,-4.000E-02
-8.8480E-06,-4.000E-02
-8.8440E-06,-4.000E-02
-8.8400E-06,-4.000E-02
-8.8360E-06,-1.200E-01
-8.8320E-06,4.000E-02
-8.8280E-06,-4.000E-02
-8.8240E-06,-4.000E-02
-8.8200E-06,4.000E-02
-8.8160E-06,1.200E-01
-8.8120E-06,4.000E-02
-8.8080E-06,-4.000E-02
-8.8040E-06,-4.000E-02
-8.8000E-06,-4.000E-02
-8.7960E-06,4.000E-02
-8.7920E-06,-4.000E-02
-8.7880E-06,4.000E-02
