[s],CH2[V]
-1.860E-08,-2.000E-02
-1.840E-08,-4.000E-16
-1.820E-08,2.000E-02
-1.800E-08,2.000E-02
-1.780E-08,-4.000E-16
-1.760E-08,-2.000E-02
-1.740E-08,-2.000E-02
-1.720E-08,2.000E-02
-1.700E-08,2.000E-02
-1.680E-08,2.000E-02
-1.660E-08,-4.000E-16
-1.640E-08,-4.000E-16
-1.620E-08,-4.000E-16
-1.600E-08,-4.000E-16
-1.580E-08,-4.000E-16
-1.560E-08,-4.000E-16
-1.540E-08,-4.000E-16
-1.520E-08,-2.000E-02
-1.500E-08,-2.000E-02
-1.480E-08,-4.000E-02
-1.460E-08,-2.000E-02
-1.440E-08,-4.000E-16
-1.420E-08,2.000E-02
-1.400E-08,2.000E-02
-1.380E-08,-4.000E-16
-1.360E-08,-4.000E-16
-1.340E-08,2.000E-02
-1.320E-08,4.000E-02
-1.300E-08,2.000E-02
-1.280E-08,-2.000E-02
-1.260E-08,-4.000E-02
-1.240E-08,-6.000E-02
-1.220E-08,-2.000E-02
-1.200E-08,-4.000E-16
-1.180E-08,-4.000E-16
-1.160E-08,-4.000E-16
-1.140E-08,-4.000E-16
-1.120E-08,-4.000E-16
-1.100E-08,-4.000E-16
-1.080E-08,-4.000E-16
-1.060E-08,-4.000E-16
-1.040E-08,-4.000E-16
-1.020E-08,-4.000E-16
-1.000E-08,-4.000E-16
-9.800E-09,-2.000E-02
-9.600E-09,-2.000E-02
-9.400E-09,-2.000E-02
-9.200E-09,2.000E-02
-9.000E-09,2.000E-02
-8.800E-09,2.000E-02
-8.600E-09,2.000E-02
-8.400E-09,2.000E-02
-8.200E-09,2.000E-02
-8.000E-09,2.000E-02
-7.800E-09,2.000E-02
-7.600E-09,-4.000E-16
-7.400E-09,-2.000E-02
-7.200E-09,-2.000E-02
-7.000E-09,-2.000E-02
-6.800E-09,-4.000E-16
-6.600E-09,-4.000E-16
-6.400E-09,-4.000E-16
-6.200E-09,2.000E-02
-6.000E-09,2.000E-02
-5.800E-09,-4.000E-16
-5.600E-09,-4.000E-16
-5.400E-09,-4.000E-16
-5.200E-09,-4.000E-16
-5.000E-09,-4.000E-16
-4.800E-09,-4.000E-16
-4.600E-09,-4.000E-16
-4.400E-09,-4.000E-16
-4.200E-09,-4.000E-16
-4.000E-09,-4.000E-16
-3.800E-09,2.000E-02
-3.600E-09,-4.000E-16
-3.400E-09,-2.000E-02
-3.200E-09,-2.000E-02
-3.000E-09,-4.000E-16
-2.800E-09,2.000E-02
-2.600E-09,4.000E-02
-2.400E-09,4.000E-02
-2.200E-09,-4.000E-16
-2.000E-09,-4.000E-16
-1.800E-09,2.000E-02
-1.600E-09,2.000E-02
-1.400E-09,2.000E-02
-1.200E-09,-2.000E-02
-1.000E-09,-2.000E-02
-8.000E-10,-2.000E-02
-6.000E-10,-4.000E-16
-4.000E-10,-4.000E-16
-2.000E-10,-4.000E-16
1.354E-20,-4.000E-16
2.000E-10,-4.000E-16
4.000E-10,2.000E-02
6.000E-10,4.000E-02
8.000E-10,2.000E-02
1.000E-09,-4.000E-16
1.200E-09,-2.000E-02
1.400E-09,-2.000E-02
1.600E-09,-2.000E-02
1.800E-09,-4.000E-16
2.000E-09,-4.000E-16
2.200E-09,-4.000E-16
2.400E-09,-4.000E-16
2.600E-09,-4.000E-16
2.800E-09,-4.000E-16
3.000E-09,-4.000E-16
3.200E-09,-4.000E-16
3.400E-09,-4.000E-16
3.600E-09,-4.000E-16
3.800E-09,-4.000E-16
4.000E-09,-4.000E-16
4.200E-09,-4.000E-16
4.400E-09,-4.000E-16
4.600E-09,2.000E-02
4.800E-09,2.000E-02
5.000E-09,-4.000E-16
5.200E-09,-4.000E-02
5.400E-09,-8.000E-02
5.600E-09,-1.200E-01
5.800E-09,-2.600E-01
6.000E-09,-3.600E-01
6.200E-09,-4.600E-01
6.400E-09,-5.400E-01
6.600E-09,-6.200E-01
6.800E-09,-7.200E-01
7.000E-09,-7.800E-01
7.200E-09,-8.200E-01
7.400E-09,-8.400E-01
7.600E-09,-8.400E-01
7.800E-09,-8.000E-01
8.000E-09,-7.800E-01
8.200E-09,-7.600E-01
8.400E-09,-7.400E-01
8.600E-09,-7.200E-01
8.800E-09,-7.000E-01
9.000E-09,-7.200E-01
9.200E-09,-7.200E-01
9.400E-09,-7.400E-01
9.600E-09,-7.400E-01
9.800E-09,-7.400E-01
1.000E-08,-7.400E-01
1.020E-08,-7.600E-01
1.040E-08,-7.600E-01
1.060E-08,-7.600E-01
1.080E-08,-7.600E-01
1.100E-08,-7.600E-01
1.120E-08,-7.800E-01
1.140E-08,-7.600E-01
1.160E-08,-7.400E-01
1.180E-08,-7.200E-01
1.200E-08,-7.400E-01
1.220E-08,-7.600E-01
1.240E-08,-7.600E-01
1.260E-08,-7.400E-01
1.280E-08,-7.200E-01
1.300E-08,-7.400E-01
1.320E-08,-7.800E-01
1.340E-08,-8.000E-01
1.360E-08,-8.200E-01
1.380E-08,-7.800E-01
1.400E-08,-7.600E-01
1.420E-08,-7.800E-01
1.440E-08,-7.800E-01
1.460E-08,-7.800E-01
1.480E-08,-7.600E-01
1.500E-08,-7.400E-01
1.520E-08,-7.400E-01
1.540E-08,-7.400E-01
1.560E-08,-7.400E-01
1.580E-08,-7.200E-01
1.600E-08,-7.000E-01
1.620E-08,-6.800E-01
1.640E-08,-6.800E-01
1.660E-08,-6.800E-01
1.680E-08,-6.400E-01
1.700E-08,-6.000E-01
1.720E-08,-5.800E-01
1.740E-08,-5.400E-01
1.760E-08,-5.000E-01
1.780E-08,-4.400E-01
1.800E-08,-4.000E-01
1.820E-08,-3.400E-01
1.840E-08,-3.000E-01
1.860E-08,-2.600E-01
1.880E-08,-1.800E-01
1.900E-08,-1.400E-01
1.920E-08,-1.000E-01
1.940E-08,-8.000E-02
1.960E-08,-6.000E-02
1.980E-08,-6.000E-02
2.000E-08,-4.000E-02
2.020E-08,-2.000E-02
2.040E-08,-4.000E-16
2.060E-08,-4.000E-16
2.080E-08,-2.000E-02
2.100E-08,-4.000E-02
2.120E-08,-4.000E-02
2.140E-08,-4.000E-02
2.160E-08,-2.000E-02
2.180E-08,-4.000E-16
2.200E-08,-4.000E-16
2.220E-08,-2.000E-02
2.240E-08,-4.000E-02
2.260E-08,-6.000E-02
2.280E-08,-4.000E-02
2.300E-08,-2.000E-02
2.320E-08,-2.000E-02
2.340E-08,-2.000E-02
2.360E-08,-2.000E-02
2.380E-08,-2.000E-02
2.400E-08,-4.000E-16
