[s],CH2[V]
-5.950E-08,-2.000E-02
-5.930E-08,-2.000E-02
-5.910E-08,-4.000E-16
-5.890E-08,-4.000E-16
-5.870E-08,-4.000E-16
-5.850E-08,-2.000E-02
-5.830E-08,-2.000E-02
-5.810E-08,-2.000E-02
-5.790E-08,-4.000E-16
-5.770E-08,-4.000E-16
-5.750E-08,2.000E-02
-5.730E-08,2.000E-02
-5.710E-08,2.000E-02
-5.690E-08,-4.000E-16
-5.670E-08,-4.000E-16
-5.650E-08,-2.000E-02
-5.630E-08,-4.000E-02
-5.610E-08,-4.000E-02
-5.590E-08,-4.000E-02
-5.570E-08,-4.000E-02
-5.550E-08,-2.000E-02
-5.530E-08,-4.000E-16
-5.510E-08,-4.000E-16
-5.490E-08,-4.000E-16
-5.470E-08,-2.000E-02
-5.450E-08,-2.000E-02
-5.430E-08,-2.000E-02
-5.410E-08,2.000E-02
-5.390E-08,4.000E-02
-5.370E-08,4.000E-02
-5.350E-08,2.000E-02
-5.330E-08,-4.000E-16
-5.310E-08,-4.000E-16
-5.290E-08,-4.000E-16
-5.270E-08,-4.000E-16
-5.250E-08,-4.000E-16
-5.230E-08,-2.000E-02
-5.210E-08,-2.000E-02
-5.190E-08,-4.000E-16
-5.170E-08,2.000E-02
-5.150E-08,4.000E-02
-5.130E-08,2.000E-02
-5.110E-08,-2.000E-02
-5.090E-08,-2.000E-02
-5.070E-08,-4.000E-16
-5.050E-08,2.000E-02
-5.030E-08,4.000E-02
-5.010E-08,2.000E-02
-4.990E-08,-4.000E-16
-4.970E-08,-2.000E-02
-4.950E-08,-2.000E-02
-4.930E-08,-2.000E-02
-4.910E-08,-2.000E-02
-4.890E-08,-2.000E-02
-4.870E-08,-4.000E-16
-4.850E-08,-4.000E-16
-4.830E-08,-4.000E-16
-4.810E-08,-4.000E-16
-4.790E-08,-4.000E-16
-4.770E-08,-4.000E-16
-4.750E-08,-4.000E-16
-4.730E-08,-4.000E-16
-4.710E-08,2.000E-02
-4.690E-08,2.000E-02
-4.670E-08,2.000E-02
-4.650E-08,-4.000E-16
-4.630E-08,-2.000E-02
-4.610E-08,-2.000E-02
-4.590E-08,-4.000E-16
-4.570E-08,2.000E-02
-4.550E-08,2.000E-02
-4.530E-08,2.000E-02
-4.510E-08,-4.000E-16
-4.490E-08,-4.000E-16
-4.470E-08,2.000E-02
-4.450E-08,2.000E-02
-4.430E-08,2.000E-02
-4.410E-08,-4.000E-16
-4.390E-08,-4.000E-16
-4.370E-08,-4.000E-16
-4.350E-08,-4.000E-16
-4.330E-08,-4.000E-16
-4.310E-08,-2.000E-02
-4.290E-08,-2.000E-02
-4.270E-08,-4.000E-16
-4.250E-08,-4.000E-16
-4.230E-08,-2.000E-02
-4.210E-08,-4.000E-02
-4.190E-08,-4.000E-02
-4.170E-08,-2.000E-02
-4.150E-08,-4.000E-16
-4.130E-08,-4.000E-16
-4.110E-08,-2.000E-02
-4.090E-08,-2.000E-02
-4.070E-08,-4.000E-16
-4.050E-08,2.000E-02
-4.030E-08,4.000E-02
-4.010E-08,4.000E-02
-3.990E-08,2.000E-02
-3.970E-08,2.000E-02
-3.950E-08,-4.000E-16
-3.930E-08,-4.000E-16
-3.910E-08,-4.000E-16
-3.890E-08,-4.000E-16
-3.870E-08,-4.000E-16
-3.850E-08,-4.000E-16
-3.830E-08,-4.000E-16
-3.810E-08,-4.000E-16
-3.790E-08,-4.000E-16
-3.770E-08,2.000E-02
-3.750E-08,2.000E-02
-3.730E-08,2.000E-02
-3.710E-08,-4.000E-16
-3.690E-08,-4.000E-16
-3.670E-08,-4.000E-16
-3.650E-08,-4.000E-16
-3.630E-08,-4.000E-16
-3.610E-08,-4.000E-16
-3.590E-08,-4.000E-16
-3.570E-08,-4.000E-16
-3.550E-08,-4.000E-16
-3.530E-08,-4.000E-16
-3.510E-08,-4.000E-16
-3.490E-08,2.000E-02
-3.470E-08,2.000E-02
-3.450E-08,2.000E-02
-3.430E-08,-4.000E-16
-3.410E-08,-2.000E-02
-3.390E-08,-2.000E-02
-3.370E-08,-4.000E-16
-3.350E-08,-4.000E-16
-3.330E-08,-4.000E-16
-3.310E-08,-2.000E-02
-3.290E-08,-2.000E-02
-3.270E-08,-2.000E-02
