[s],CH2[V]
-1.900E-08,2.000E-02
-1.890E-08,4.000E-02
-1.880E-08,4.000E-02
-1.870E-08,4.000E-02
-1.860E-08,2.000E-02
-1.850E-08,2.000E-02
-1.840E-08,-4.000E-16
-1.830E-08,-2.000E-02
-1.820E-08,-4.000E-02
-1.810E-08,-4.000E-02
-1.800E-08,-4.000E-02
-1.790E-08,-2.000E-02
-1.780E-08,-2.000E-02
-1.770E-08,-4.000E-16
-1.760E-08,-4.000E-16
-1.750E-08,-4.000E-16
-1.740E-08,2.000E-02
-1.730E-08,2.000E-02
-1.720E-08,2.000E-02
-1.710E-08,2.000E-02
-1.700E-08,2.000E-02
-1.690E-08,2.000E-02
-1.680E-08,2.000E-02
-1.670E-08,2.000E-02
-1.660E-08,-4.000E-16
-1.650E-08,-4.000E-16
-1.640E-08,-2.000E-02
-1.630E-08,-2.000E-02
-1.620E-08,-2.000E-02
-1.610E-08,-2.000E-02
-1.600E-08,-2.000E-02
-1.590E-08,-4.000E-16
-1.580E-08,-4.000E-16
-1.570E-08,-4.000E-16
-1.560E-08,-4.000E-16
-1.550E-08,2.000E-02
-1.540E-08,2.000E-02
-1.530E-08,2.000E-02
-1.520E-08,2.000E-02
-1.510E-08,4.000E-02
-1.500E-08,4.000E-02
-1.490E-08,4.000E-02
-1.480E-08,4.000E-02
-1.470E-08,4.000E-02
-1.460E-08,4.000E-02
-1.450E-08,4.000E-02
-1.440E-08,2.000E-02
-1.430E-08,2.000E-02
-1.420E-08,2.000E-02
-1.410E-08,2.000E-02
-1.400E-08,-4.000E-16
-1.390E-08,-4.000E-16
-1.380E-08,-4.000E-16
-1.370E-08,-4.000E-16
-1.360E-08,-4.000E-16
-1.350E-08,-4.000E-16
-1.340E-08,-4.000E-16
-1.330E-08,-4.000E-16
-1.320E-08,-4.000E-16
-1.310E-08,2.000E-02
-1.300E-08,2.000E-02
-1.290E-08,-4.000E-16
-1.280E-08,-4.000E-16
-1.270E-08,-2.000E-02
-1.260E-08,-2.000E-02
-1.250E-08,-4.000E-02
-1.240E-08,-4.000E-02
-1.230E-08,-4.000E-02
-1.220E-08,-2.000E-02
-1.210E-08,-2.000E-02
-1.200E-08,-4.000E-16
-1.190E-08,2.000E-02
-1.180E-08,4.000E-02
-1.170E-08,4.000E-02
-1.160E-08,4.000E-02
-1.150E-08,4.000E-02
-1.140E-08,2.000E-02
-1.130E-08,2.000E-02
-1.120E-08,2.000E-02
-1.110E-08,2.000E-02
-1.100E-08,-4.000E-16
-1.090E-08,-4.000E-16
-1.080E-08,-4.000E-16
-1.070E-08,-4.000E-16
-1.060E-08,-2.000E-02
-1.050E-08,-2.000E-02
-1.040E-08,-2.000E-02
-1.030E-08,-2.000E-02
-1.020E-08,-2.000E-02
-1.010E-08,-4.000E-16
-1.000E-08,-4.000E-16
-9.900E-09,2.000E-02
-9.800E-09,2.000E-02
-9.700E-09,2.000E-02
-9.600E-09,-4.000E-16
-9.500E-09,-4.000E-16
-9.400E-09,-2.000E-02
-9.300E-09,-2.000E-02
-9.200E-09,-2.000E-02
-9.100E-09,-2.000E-02
-9.000E-09,-2.000E-02
-8.900E-09,-2.000E-02
-8.800E-09,-2.000E-02
-8.700E-09,-2.000E-02
-8.600E-09,-2.000E-02
-8.500E-09,-2.000E-02
-8.400E-09,-2.000E-02
-8.300E-09,-2.000E-02
-8.200E-09,-4.000E-16
-8.100E-09,-4.000E-16
-8.000E-09,2.000E-02
-7.900E-09,2.000E-02
-7.800E-09,2.000E-02
-7.700E-09,-4.000E-16
-7.600E-09,-4.000E-16
-7.500E-09,-2.000E-02
-7.400E-09,-4.000E-02
-7.300E-09,-4.000E-02
-7.200E-09,-4.000E-02
-7.100E-09,-2.000E-02
-7.000E-09,-4.000E-16
-6.900E-09,-4.000E-16
-6.800E-09,2.000E-02
-6.700E-09,2.000E-02
-6.600E-09,2.000E-02
-6.500E-09,-4.000E-16
-6.400E-09,-4.000E-16
-6.300E-09,-2.000E-02
-6.200E-09,-2.000E-02
-6.100E-09,-2.000E-02
-6.000E-09,-2.000E-02
-5.900E-09,-4.000E-16
-5.800E-09,-4.000E-16
-5.700E-09,-4.000E-16
-5.600E-09,-4.000E-16
-5.500E-09,-4.000E-16
-5.400E-09,-4.000E-16
-5.300E-09,-4.000E-16
-5.200E-09,-4.000E-16
-5.100E-09,-4.000E-16
-5.000E-09,-4.000E-16
-4.900E-09,-4.000E-16
-4.800E-09,-4.000E-16
-4.700E-09,-4.000E-16
-4.600E-09,-4.000E-16
