[s],CH1[V],CH2[V]
-1.0935E-01,-5.900E+00,8.000E-02
-1.0931E-01,-6.100E+00,2.191E-14
-1.0927E-01,-5.900E+00,2.191E-14
-1.0923E-01,-6.100E+00,-8.000E-02
-1.0919E-01,-5.700E+00,1.600E-01
-1.0915E-01,-5.900E+00,8.000E-02
-1.0911E-01,-5.900E+00,2.191E-14
-1.0907E-01,-5.900E+00,1.600E-01
-1.0903E-01,-5.900E+00,2.191E-14
-1.0899E-01,-5.900E+00,2.400E-01
-1.0895E-01,-5.900E+00,1.600E-01
-1.0891E-01,-5.900E+00,8.000E-02
-1.0887E-01,-6.100E+00,8.000E-02
-1.0883E-01,-6.100E+00,8.000E-02
-1.0879E-01,-5.700E+00,1.600E-01
-1.0875E-01,-5.700E+00,8.000E-02
-1.0871E-01,-5.900E+00,8.000E-02
-1.0867E-01,-5.900E+00,8.000E-02
-1.0863E-01,-5.900E+00,8.000E-02
-1.0859E-01,-5.900E+00,1.600E-01
-1.0855E-01,-5.900E+00,8.000E-02
-1.0851E-01,-6.100E+00,8.000E-02
-1.0847E-01,-5.900E+00,8.000E-02
-1.0843E-01,-5.900E+00,8.000E-02
-1.0839E-01,-5.900E+00,2.191E-14
-1.0835E-01,-5.900E+00,-8.000E-02
-1.0831E-01,-5.900E+00,2.191E-14
-1.0827E-01,-5.900E+00,8.000E-02
-1.0823E-01,-5.900E+00,2.191E-14
-1.0819E-01,-6.100E+00,1.600E-01
-1.0815E-01,-5.900E+00,1.600E-01
-1.0811E-01,-5.900E+00,1.600E-01
-1.0807E-01,-5.900E+00,2.191E-14
-1.0803E-01,-5.900E+00,8.000E-02
-1.0799E-01,-5.900E+00,8.000E-02
-1.0795E-01,-5.900E+00,2.400E-01
-1.0791E-01,-5.900E+00,-8.000E-02
-1.0787E-01,-5.900E+00,8.000E-02
-1.0783E-01,-5.900E+00,8.000E-02
-1.0779E-01,-5.900E+00,1.600E-01
-1.0775E-01,-6.100E+00,8.000E-02
-1.0771E-01,-5.900E+00,1.600E-01
-1.0767E-01,-5.700E+00,8.000E-02
-1.0763E-01,-5.700E+00,8.000E-02
-1.0759E-01,-5.900E+00,2.191E-14
-1.0755E-01,-5.900E+00,8.000E-02
-1.0751E-01,-5.900E+00,1.600E-01
-1.0747E-01,-6.100E+00,1.600E-01
-1.0743E-01,-5.900E+00,1.600E-01
-1.0739E-01,-6.100E+00,8.000E-02
-1.0735E-01,-6.100E+00,2.191E-14
-1.0731E-01,-5.700E+00,8.000E-02
-1.0727E-01,-5.700E+00,2.191E-14
-1.0723E-01,-5.700E+00,8.000E-02
-1.0719E-01,-5.900E+00,8.000E-02
-1.0715E-01,-5.900E+00,8.000E-02
-1.0711E-01,-5.900E+00,2.191E-14
-1.0707E-01,-5.900E+00,8.000E-02
-1.0703E-01,-6.100E+00,8.000E-02
-1.0699E-01,-5.900E+00,8.000E-02
-1.0695E-01,-5.900E+00,8.000E-02
-1.0691E-01,-6.100E+00,8.000E-02
-1.0687E-01,-5.700E+00,8.000E-02
-1.0683E-01,-5.900E+00,8.000E-02
-1.0679E-01,-5.900E+00,1.600E-01
-1.0675E-01,-6.100E+00,8.000E-02
-1.0671E-01,-5.900E+00,-8.000E-02
-1.0667E-01,-5.900E+00,1.600E-01
-1.0663E-01,-5.900E+00,2.191E-14
-1.0659E-01,-5.700E+00,2.191E-14
-1.0655E-01,-5.900E+00,8.000E-02
-1.0651E-01,-5.900E+00,2.191E-14
-1.0647E-01,-5.900E+00,1.600E-01
-1.0643E-01,-5.900E+00,1.600E-01
-1.0639E-01,-5.900E+00,8.000E-02
-1.0635E-01,-6.100E+00,8.000E-02
-1.0631E-01,-5.900E+00,1.600E-01
-1.0627E-01,-5.900E+00,8.000E-02
-1.0623E-01,-5.900E+00,8.000E-02
-1.0619E-01,-5.700E+00,8.000E-02
-1.0615E-01,-5.900E+00,8.000E-02
-1.0611E-01,-5.900E+00,1.600E-01
-1.0607E-01,-6.100E+00,1.600E-01
-1.0603E-01,-6.100E+00,2.191E-14
-1.0599E-01,-6.100E+00,8.000E-02
-1.0595E-01,-5.900E+00,8.000E-02
-1.0591E-01,-5.900E+00,1.600E-01
