0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	1
40	1
41	0
42	0
43	0
44	1
45	1
46	1
47	0
48	0
49	1
50	0
51	1
52	0
53	1
54	3
55	0
56	0
57	1
58	0
59	1
60	1
61	0
62	1
63	1
64	2
65	0
66	2
67	1
68	0
69	1
70	1
71	2
72	0
73	1
74	1
75	0
76	1
77	0
78	0
79	0
80	0
81	1
82	0
83	1
84	0
85	3
86	1
87	1
88	1
89	0
90	0
91	1
92	1
93	0
94	1
95	1
96	1
97	0
98	0
99	1
100	1
101	0
102	2
103	1
104	1
105	0
106	0
107	2
108	0
109	0
110	1
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	2
119	0
120	0
121	2
122	0
123	0
124	0
125	0
126	2
127	0
128	1
129	1
130	0
131	1
132	0
133	1
134	0
135	1
136	1
137	0
138	0
139	1
140	0
141	3
142	3
143	0
144	2
145	0
146	1
147	0
148	0
149	0
150	0
151	2
152	0
153	0
154	1
155	0
156	1
157	1
158	1
159	0
160	1
161	0
162	1
163	0
164	0
165	0
166	2
167	0
168	0
169	1
170	2
171	0
172	0
173	0
174	2
175	0
176	1
177	1
178	1
179	0
180	1
181	1
182	0
183	2
184	3
185	1
186	0
187	1
188	2
189	1
190	0
191	1
192	0
193	0
194	0
195	0
196	0
197	0
198	2
199	0
200	0
201	0
202	1
203	0
204	1
205	1
206	2
207	0
208	0
209	1
210	0
211	0
212	0
213	0
214	0
215	1
216	0
217	1
218	1
219	1
220	2
221	0
222	0
223	0
224	0
225	2
226	0
227	0
228	0
229	2
230	0
231	0
232	0
233	0
234	0
235	1
236	2
237	3
238	0
239	1
240	1
241	1
242	3
243	2
244	2
245	1
246	1
247	1
248	1
249	0
250	0
251	0
252	0
253	3
254	1
255	4
256	1
257	1
258	2
259	1
260	0
261	1
262	1
263	2
264	0
265	0
266	0
267	1
268	0
269	0
270	0
271	0
272	1
273	1
274	0
275	1
276	1
277	1
278	0
279	0
280	0
281	2
282	0
283	0
284	2
285	1
286	1
287	1
288	2
289	1
290	0
291	1
292	4
293	0
294	1
295	1
296	0
297	1
298	2
299	0
300	4
301	2
302	6
303	1
304	1
305	3
306	2
307	1
308	3
309	2
310	2
311	1
312	3
313	3
314	2
315	1
316	3
317	8
318	1
319	4
320	4
321	4
322	4
323	3
324	2
325	6
326	6
327	4
328	5
329	9
330	3
331	2
332	1
333	4
334	1
335	6
336	6
337	5
338	3
339	7
340	4
341	5
342	6
343	7
344	5
345	7
346	3
347	5
348	4
349	7
350	6
351	12
352	8
353	8
354	13
355	8
356	5
357	9
358	9
359	12
360	16
361	11
362	18
363	12
364	16
365	20
366	17
367	16
368	19
369	23
370	25
371	20
372	22
373	27
374	18
375	29
376	16
377	27
378	42
379	35
380	46
381	34
382	47
383	39
384	60
385	31
386	51
387	48
388	44
389	79
390	85
391	74
392	77
393	92
394	81
395	85
396	109
397	114
398	116
399	105
400	119
401	118
402	123
403	154
404	150
405	157
406	181
407	186
408	224
409	200
410	188
411	217
412	211
413	233
414	266
415	246
416	285
417	281
418	279
419	318
420	336
421	361
422	354
423	361
424	398
425	444
426	440
427	432
428	433
429	460
430	443
431	482
432	457
433	519
434	538
435	580
436	608
437	581
438	580
439	611
440	641
441	655
442	658
443	669
444	679
445	714
446	769
447	694
448	755
449	794
450	752
451	797
452	759
453	749
454	771
455	682
456	773
457	806
458	882
459	817
460	792
461	825
462	779
463	788
464	834
465	836
466	834
467	850
468	879
469	833
470	813
471	872
472	858
473	839
474	840
475	833
476	814
477	846
478	821
479	877
480	887
481	840
482	731
483	838
484	812
485	877
486	862
487	855
488	782
489	877
490	881
491	823
492	845
493	840
494	871
495	856
496	807
497	822
498	841
499	856
500	844
501	761
502	849
503	794
504	775
505	781
506	794
507	787
508	813
509	793
510	759
511	735
512	809
513	769
514	734
515	770
516	732
517	753
518	755
519	760
520	679
521	716
522	709
523	721
524	686
525	703
526	677
527	666
528	607
529	648
530	645
531	653
532	598
533	574
