0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	1
48	0
49	1
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	1
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	1
72	0
73	2
74	1
75	1
76	2
77	0
78	0
79	1
80	0
81	1
82	0
83	0
84	1
85	0
86	2
87	2
88	1
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	1
98	1
99	0
100	0
101	0
102	2
103	0
104	2
105	0
106	1
107	0
108	2
109	1
110	0
111	0
112	0
113	0
114	0
115	1
116	0
117	0
118	1
119	1
120	0
121	1
122	1
123	1
124	0
125	0
126	0
127	3
128	1
129	2
130	2
131	0
132	1
133	2
134	2
135	0
136	0
137	0
138	0
139	2
140	0
141	2
142	0
143	1
144	1
145	0
146	1
147	0
148	1
149	1
150	2
151	0
152	0
153	1
154	1
155	4
156	1
157	0
158	1
159	2
160	1
161	3
162	2
163	4
164	1
165	1
166	2
167	4
168	1
169	0
170	0
171	2
172	4
173	1
174	3
175	0
176	0
177	4
178	1
179	2
180	0
181	1
182	3
183	3
184	2
185	2
186	3
187	5
188	3
189	4
190	1
191	6
192	3
193	2
194	6
195	3
196	1
197	2
198	3
199	3
200	3
201	5
202	3
203	8
204	9
205	2
206	3
207	6
208	2
209	5
210	10
211	3
212	2
213	7
214	10
215	13
216	3
217	10
218	4
219	5
220	5
221	6
222	7
223	3
224	6
225	8
226	8
227	9
228	8
229	10
230	10
231	6
232	8
233	11
234	6
235	12
236	19
237	7
238	14
239	10
240	15
241	12
242	15
243	21
244	24
245	14
246	20
247	11
248	8
249	15
250	18
251	16
252	12
253	27
254	28
255	31
256	29
257	38
258	27
259	24
260	29
261	29
262	35
263	24
264	39
265	37
266	42
267	47
268	58
269	46
270	55
271	49
272	65
273	69
274	69
275	74
276	58
277	83
278	76
279	79
280	94
281	86
282	77
283	101
284	95
285	97
286	87
287	97
288	118
289	117
290	101
291	126
292	128
293	106
294	115
295	118
296	123
297	129
298	105
299	142
300	128
301	109
302	129
303	132
304	130
305	121
306	137
307	125
308	135
309	133
310	149
311	133
312	142
313	141
314	129
315	146
316	132
317	157
318	160
319	145
320	144
321	154
322	150
323	157
324	149
325	163
326	147
327	126
328	151
329	159
330	170
331	140
332	132
333	147
334	141
335	156
336	137
337	146
338	128
339	144
340	143
341	153
342	172
343	125
344	140
345	144
346	134
347	145
348	143
349	138
350	155
351	138
352	164
353	164
354	134
355	152
356	170
357	164
358	114
359	159
360	157
361	123
362	153
363	137
364	145
365	132
366	161
367	151
368	146
369	157
370	167
371	139
372	153
373	170
374	151
375	166
376	153
377	152
378	153
379	154
380	160
381	158
382	163
383	150
384	162
385	140
386	144
387	171
388	147
389	153
390	169
391	136
392	167
393	161
394	144
395	185
396	166
397	165
398	185
399	150
400	151
401	164
402	162
403	141
404	169
405	148
406	159
407	134
408	166
409	151
410	145
411	154
412	162
413	147
414	151
415	183
416	140
417	147
418	173
419	152
420	158
421	143
422	160
423	158
424	152
425	189
426	168
427	171
428	158
429	163
430	163
431	168
432	152
433	164
434	175
435	145
436	148
437	177
438	186
439	165
440	159
441	174
442	174
443	155
444	125
445	158
446	148
447	159
448	136
449	148
450	167
451	150
452	155
453	164
454	167
455	138
456	153
457	160
458	163
459	148
460	171
461	172
462	179
463	137
464	176
465	169
466	173
467	185
468	148
469	152
470	165
471	174
472	148
473	139
474	154
475	150
476	167
477	134
478	157
479	182
480	155
481	151
482	156
483	155
484	172
485	122
486	132
487	152
488	193
489	154
490	154
491	155
492	160
493	135
494	163
495	140
496	134
497	153
498	147
499	170
500	149
501	141
502	141
503	172
504	157
505	150
506	163
507	150
508	158
509	136
510	174
511	145
512	130
513	177
514	158
515	169
516	152
517	142
518	148
519	158
520	161
521	137
522	154
523	152
524	163
525	161
526	157
527	144
528	151
529	158
530	163
531	141
532	141
533	168
