Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
1.592(11)e+06 4952.48(77) 179.32(77) 579.7(8.5) 0.0024
3.849(70)e+05 5383.3(3.2) 169.2(2.2) 579.7(8.5) 0.0024
1.135(45)e+05 3822.4(2.3) 114.8(2.6) 345.7(9.6) 0.0084
6.049(66)e+05 4223.66(86) 179.8(1.1) 345.7(9.6) 0.0084
1.775(12)e+06 1180.29(23) 52.11(31) 1576(37) 0.0072
