Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
1.581(12)e+06 452.45(22) 37.08(26) 675(42) 58.8793
2.22(41)e+05 802.6(1.2) 117.2(9.2) 93(83) 6.1566
6.46(33)e+04 964.56(48) 44.4(1.4) 768(15) 8.3031
6.061(47)e+05 1230.22(25) 58.29(36) 453(13) 10.8133
9.22(19)e+04 1729.72(52) 74.5(1.0) 291.4(5.0) 4.5665
3.04(21)e+04 3910.2(4.1) 113.9(4.7) 115.9(3.9) 2.8843
2.085(32)e+05 4324.8(1.6) 201.1(2.1) 115.9(3.9) 2.8843
5.798(35)e+05 5059.41(87) 199.21(86) 165.5(3.6) 1.9442
1.302(30)e+05 5545.2(2.9) 166.5(2.6) 165.5(3.6) 1.9442
