Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
8.73(27)e+04 488.01(73) 44.4(1.1) 111(10) 22.7899
5.486(39)e+05 1186.81(25) 52.76(32) 436(11) 12.1616
5.152(26)e+05 4977.91(97) 188.59(76) 118.5(1.9) 1.588
1.265(28)e+05 5438.5(3.3) 173.0(2.7) 118.5(1.9) 1.588
