Fläche $\mu$ $\sigma$ C $\chi^2_\text{red}$
7.105(14)e+05 2207.19(12) 73.27(14) 177.6(2.6) 0.0016
1.2479(67)e+05 5451.27(42) 128.90(57) 36.48(83) 0.0098
1.457(63)e+04 7725.7(1.8) 158.5(4.4) 3.18(78) 0.1457
