U_cap U_amp
0.6(1)e-3 29.0(5)e-3
52.0(5)e-3 31.0(5)e-3
4.70(5) 310(5)e-3
10.5(1) 0.67(2)
25.5(1) 1.65(5)
39.2(1) 2.65(5)
57.3(1) 3.85(5)
91.3(1) 5.10(5)
130.80(1) 5.50(5)
190.2(2) 5.6(1)
235.4(1) 5.75(5)
303.1(2) 5.7(1)
340.8(2) 5.7(1)
382.4(1) 5.7(1)
