U_cap U_amp
0.6(1)e-3 20(2)e-3
7.5(1) 77(8)e-3
19.5(1) 205(7)e-3
26.1(1) 275(10)e-3
42.7(1) 0.50(1)
61.4(1) 0.83(2)
80.6(1) 1.15(5)
104.4(1) 1.58(5)
145.5(1) 2.15(9)
184.2(1) 2.5(1)
240.5(1) 2.70(7)
313.5(1) 2.80(5)
382.2(1) 2.85(7)
