U_acc U_amp
0 16.2(1)e-3
2.5e3 16.3(1)e-3
5.0e3 26.0(5)e-3
7.5e3 111(3)e-3
10e3 285(1)e-3
12.5e3 0.530(7)
15.0e3 0.80(1)
17.5e3 1.08(5)
20e3 1.40(2)
22.5e3 1.70(5)
25e3 2.00(5)
27.5e3 2.30(5)
30e3 2.59(4)
32.5e3 2.80(4)
