U_cap U_amp
0.8(1)e-3 18(5)e-3
3.9(1) 45(3)e-3
8.9(1) 85(3)e-3
22.2(1) 200(10)e-3
36.8(1) 380(10)e-3
59.0(1) 0.67(2)
79.8(1) 0.95(2)
103.5(1) 1.25(0.5)
132.6(1) 1.45(5)
151.6(1) 1.52(5)
180.8(1) 1.61(5)
239.6(1) 1.69(5)
321.3(1) 1.73(3)
381.5(1) 1.74(2)
