U_cap U_amp
2.0(5)e-3 30(4)e-3
50.0(5) 0.80(5)
94.0(5) 0.8(1)
155.0(1) 0.72(2)
209.0(2) 0.68(2)
243.4(2) 0.69(2)
294.9(1) 0.69(1)
349.3(1) 0.68(5)
382.7(2) 0.685(5)
190.0(5)e-3 31(1)e-3
11.00(5) 310(10)e-3
19.30(5) 0.49(1)
27.90(1) 0.62(2)
37.40(5) 0.68(5)
