delta_time dose_before dose_after distance
25 0 0.5 20
25 0.5 1.0 22
5 0 0.6 0
5 0.5 1 2
5 1 1.4 4
5 0 0.3 10
15 0.3 0.9 12
15 0.9 1.3 14
15 1.3 1.7 16
15 1.7 2 18
