U_cap U_amp
0.3(1)e-3 17.00(5)e-3
68.0(5)e-3 17.4(2)e-3
2.4(1) 30.0(5)e-3
10.86(1) 85(2)e-3
20.0(1) 155(5)e-3
35.05(1) 285(5)e-3
64.1(1) 0.55(5)
91.9(1) 0.710(5)
136.4(1) 0.800(5)
191.6(1) 0.830(5)
245.0(5) 0.840(7)
298.5(1) 0.840(8)
380.6(1) 0.855(5)
