I_emission U_amp
0.0 30.5(0.5)e-3
0.1 0.68(1)
0.2 1.30(2)
0.3 1.95(5)
0.4 2.55(5)
0.5 3.18(5)
0.6 3.78(5)
0.7 4.42(5)
0.8 5.00(5)
0.9 5.62(5)
1.0 5.78(5)
