events, zeit / s, U_scint / kV 
200, 18.99, -1.7
200, 36.11, -1.63
200, 138.03, -1.54
10, 43.52, -1.44
100, 152.73, -1.50
100, 152.23, -1.49
100, 56.68, -1.55
1000, 12.65, -1.95
1000, 17.15, -1.9
1000, 26.16, -1.85
500, 22.12, -1.8
500, 36.10, -1.75
